dataset,sweep,rank,threshold,f1,precision,recall,tp,fp,fn
bbc,fine,164,0.022,0.9481184144505771,0.9224760788908416,0.9752270850536746,4724,397,120
bbc,fine,165,0.186,0.947221626260459,0.9859312192943278,0.9114368290668868,4415,63,429
bbc,fine,166,0.187,0.9460910652920962,0.9858997314234557,0.9093724194880264,4405,63,439
bbc,fine,167,0.021,0.9457566052842273,0.9178321678321678,0.9754335260115607,4725,423,119
bbc,fine,168,0.02,0.9445720563267751,0.9148771522538208,0.9762592898431048,4729,440,115
bbc,fine,169,0.188,0.9443906636549425,0.9858522344486863,0.9062758051197357,4390,63,454
bbc,fine,170,0.189,0.943241787829833,0.9860391803647827,0.9040049545829892,4379,62,465
bbc,fine,171,0.19,0.9419758412424505,0.9862240289069557,0.9015276630883567,4367,61,477
bbc,fine,172,0.191,0.9392301038062283,0.9861489554950046,0.8965730800990916,4343,61,501
bbc,fine,173,0.192,0.9373781148429036,0.9863201094391245,0.8930635838150289,4326,60,518
bbc,fine,174,0.193,0.934492123845736,0.9862416876863105,0.8879025598678778,4301,60,543
bbc,fine,175,0.194,0.9319246269469557,0.986396126354623,0.8831544178364987,4278,59,566
bbc,fine,176,0.195,0.9281888731008854,0.986295005807201,0.8765483071841453,4246,59,598
bbc,fine,177,0.196,0.9228910369068541,0.9861502347417841,0.8672584640792733,4201,59,643
bbc,fine,178,0.197,0.9131832797427654,0.9863473053892216,0.8501238645747317,4118,57,726
bbc,fine,179,0.198,0.8955864093012754,0.9880448318804483,0.8189512799339389,3967,48,877
bbc,fine,180,0.199,0.789186507936508,0.9881987577639751,0.6568951279933939,3182,38,1662
bbc,fine,181,0.2,0.14560701353154185,0.9478908188585607,0.07886044591246903,382,21,4462
clipshots,coarse,1,0.15000000596046448,0.7556047966631907,0.71259987707437,0.804133721736718,5797,2338,1412
clipshots,coarse,2,0.10000000149011612,0.7528801495868266,0.6660618996798292,0.8657234013039257,6241,3129,968
clipshots,coarse,3,0.05999999865889549,0.7225492415666742,0.6102877904197342,0.8854210015258704,6383,4076,826
clipshots,coarse,4,0.019999999552965164,0.6455626897615848,0.5034156186927495,0.8995699819669857,6485,6397,724
clipshots,coarse,5,0.20000000298023224,0.24980111376292757,0.6911949685534591,0.152448328478291,1099,491,6110
clipshots,coarse,6,0.20999999344348907,0.16214896214896216,0.6768603465851172,0.09210708836177,664,317,6545
clipshots,coarse,7,0.2199999988079071,0.14036399900274246,0.6924969249692496,0.07809682341517547,563,250,6646
clipshots,coarse,8,0.23000000417232513,0.11954314720812183,0.7019374068554396,0.06533499791926758,471,200,6738
clipshots,coarse,9,0.23999999463558197,0.10096587250482937,0.7050359712230215,0.054376473852129285,392,164,6817
clipshots,coarse,10,0.25,0.08426819723454214,0.7067833698030634,0.044805104730198365,323,134,6886
clipshots,coarse,11,0.2549999952316284,0.07618547221857348,0.7178217821782178,0.04022749341101401,290,114,6919
clipshots,coarse,12,0.25999999046325684,0.07022175290390707,0.7247956403269755,0.0368983215425163,266,101,6943
clipshots,coarse,13,0.26499998569488525,0.06440498277232971,0.7210682492581603,0.033707865168539325,243,94,6966
clipshots,coarse,14,0.27000001072883606,0.05905040563904774,0.7161290322580646,0.03079483978360383,222,88,6987
clipshots,coarse,15,0.2750000059604645,0.05392418579818473,0.7137809187279152,0.02802052989318907,202,81,7007
clipshots,coarse,16,0.2800000011920929,0.047210300429184546,0.7125506072874493,0.02441392703564988,176,71,7033
clipshots,coarse,17,0.2833000123500824,0.04358939862774116,0.7232142857142857,0.02247191011235955,162,62,7047
clipshots,coarse,18,0.2867000102996826,0.04098692193609276,0.7307692307692307,0.02108475516715217,152,56,7057
clipshots,coarse,19,0.28999999165534973,0.03809266513575577,0.7268041237113402,0.019558884727424054,141,53,7068
clipshots,coarse,20,0.2919999957084656,0.03571428571428571,0.7213114754098361,0.018310445276737412,132,51,7077
clipshots,coarse,21,0.2939999997615814,0.034394041976980365,0.7215909090909091,0.017616867804133723,127,49,7082
clipshots,coarse,22,0.29600000381469727,0.03306681122103266,0.7176470588235294,0.016923290331530033,122,48,7087
clipshots,coarse,23,0.2980000078678131,0.03175033921302578,0.7267080745341615,0.016229712858926344,117,44,7092
clipshots,coarse,24,0.30000001192092896,0.029083990214732267,0.7181208053691275,0.014842557913718963,107,42,7102
clipshots,coarse,25,0.3019999861717224,0.027207182696231808,0.704225352112676,0.013871549452073797,100,42,7109
clipshots,coarse,26,0.30399999022483826,0.026143790849673203,0.7111111111111111,0.013316687473990845,96,39,7113
clipshots,coarse,27,0.3059999942779541,0.02480916030534351,0.7165354330708661,0.012623110001387154,91,36,7118
clipshots,coarse,28,0.30799999833106995,0.024270520861739836,0.712,0.012345679012345678,89,36,7120
clipshots,coarse,29,0.3100000023841858,0.023471615720524017,0.7226890756302521,0.011929532528783465,86,33,7123
